District ID ,District Name ,School ID,School Name,School Year,Total ,Prekindergarten ,KindergartenFull Day ,KindergartenExtended Day ,KindergartenHalf Day ,Totalk,Grade 1 ,Grade 2 ,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade10,Grade11,Grade12
288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2011-12,761,NA,90,NA,NA,90,89,86,88,75,98,92,75,68,NA,NA,NA,NA
279,Amistad Academy District,51,Amistad Academy,2011-12,857,NA,96,NA,NA,96,89,86,78,76,89,87,84,63,39,28,25,17
1,Andover School District,1,Andover Elementary School,2011-12,314,28,35,NA,NA,35,43,45,41,50,33,39,NA,NA,NA,NA,NA,NA
2,Ansonia School District,61,Ansonia High School,2011-12,695,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,188,157,174,176
2,Ansonia School District,51,Ansonia Middle School,2011-12,471,102,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,187,182,NA,NA,NA,NA
2,Ansonia School District,3,Mead School,2011-12,610,NA,NA,NA,80,80,95,88,89,83,93,82,NA,NA,NA,NA,NA,NA
2,Ansonia School District,8,Prendergast School,2011-12,738,NA,NA,NA,94,94,117,106,100,105,111,105,NA,NA,NA,NA,NA,NA
244,Area Cooperative Educational Services,51,Thomas Edison Magnet Middle School,2011-12,721,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,250,241,230,NA,NA,NA,NA
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2011-12,640,NA,60,NA,NA,60,66,72,75,75,75,75,73,69,NA,NA,NA,NA
3,Ashford School District,1,Ashford School,2011-12,481,48,56,NA,NA,56,49,39,52,33,51,51,52,50,NA,NA,NA,NA
4,Avon School District,61,Avon High School,2011-12,1112,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,281,284,265,282
4,Avon School District,51,Avon Middle School,2011-12,572,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,288,284,NA,NA,NA,NA
4,Avon School District,4,Pine Grove School,2011-12,625,41,NA,NA,89,89,99,122,129,145,NA,NA,NA,NA,NA,NA,NA,NA
4,Avon School District,3,Roaring Brook School,2011-12,591,NA,NA,NA,77,77,110,135,133,136,NA,NA,NA,NA,NA,NA,NA,NA
4,Avon School District,5,Thompson Brook School,2011-12,595,NA,NA,NA,NA,0,NA,NA,NA,NA,286,309,NA,NA,NA,NA,NA,NA
5,Barkhamsted School District,1,Barkhamsted Elementary School,2011-12,338,NA,NA,NA,42,42,50,44,59,35,55,53,NA,NA,NA,NA,NA,NA
5,Barkhamsted School District,80,Shared Services Integrated Preschool,2011-12,19,19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,61,Berlin High School,2011-12,976,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,211,234,263,268
7,Berlin School District,51,Catherine M. McGee Middle School,2011-12,730,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,235,237,258,NA,NA,NA,NA
7,Berlin School District,4,Emma Hart Willard School,2011-12,491,37,NA,NA,45,45,75,77,86,77,94,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,5,Mary E. Griswold School,2011-12,577,NA,NA,NA,80,80,106,96,108,91,96,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,1,Richard D. Hubbard School,2011-12,241,NA,NA,NA,28,28,49,33,43,41,47,NA,NA,NA,NA,NA,NA,NA
8,Bethany School District,1,Bethany Community School,2011-12,491,11,47,NA,NA,47,55,66,75,80,89,68,NA,NA,NA,NA,NA,NA
9,Bethel School District,4,Anna H. Rockwell School,2011-12,389,NA,101,NA,NA,101,88,89,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bethel School District,61,Bethel High School,2011-12,949,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,234,242,241,232
9,Bethel School District,51,Bethel Middle School,2011-12,693,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,221,224,248,NA,NA,NA,NA
9,Bethel School District,1,Frank A. Berry School,2011-12,492,110,99,NA,NA,99,86,85,112,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bethel School District,5,Ralph M. T. Johnson School,2011-12,447,NA,NA,NA,NA,0,NA,NA,NA,210,237,NA,NA,NA,NA,NA,NA,NA
11,Bloomfield School District,61,Bloomfield High School,2011-12,603,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,153,158,146,146
11,Bloomfield School District,7,Carmen Arace Intermediate School,2011-12,263,NA,NA,NA,NA,0,NA,NA,NA,NA,133,130,NA,NA,NA,NA,NA,NA
11,Bloomfield School District,52,Carmen Arace Middle School,2011-12,286,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,157,129,NA,NA,NA,NA
11,Bloomfield School District,3,J. P. Vincent School,2011-12,322,NA,81,NA,NA,81,119,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Bloomfield School District,5,Metacomet School,2011-12,251,NA,NA,NA,NA,0,NA,NA,122,129,NA,NA,NA,NA,NA,NA,NA,NA
11,Bloomfield School District,62,The Big Picture High School,2011-12,105,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,32,28,31,14
11,Bloomfield School District,8,Wintonbury Early Childhood Magnet School,2011-12,321,216,105,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Bolton School District,1,Bolton Center School,2011-12,549,12,NA,NA,43,43,67,62,54,54,60,62,60,75,NA,NA,NA,NA
12,Bolton School District,61,Bolton High School,2011-12,343,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,83,102,85,73
13,Bozrah School District,1,Fields Memorial School,2011-12,234,21,20,NA,NA,20,31,24,19,22,21,29,29,18,NA,NA,NA,NA
14,Branford School District,61,Branford High School,2011-12,1064,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,238,300,271,255
14,Branford School District,51,Francis Walsh Intermediate School,2011-12,1020,NA,NA,NA,NA,0,NA,NA,NA,NA,243,244,276,257,NA,NA,NA,NA
14,Branford School District,80,Indian Neck School,2011-12,40,40,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Branford School District,16,John B. Sliney School,2011-12,365,NA,64,NA,NA,64,71,70,85,75,NA,NA,NA,NA,NA,NA,NA,NA
14,Branford School District,15,Mary R. Tisko School,2011-12,384,NA,57,NA,NA,57,81,87,73,86,NA,NA,NA,NA,NA,NA,NA,NA
14,Branford School District,14,Mary T. Murphy School,2011-12,439,31,88,NA,NA,88,77,84,74,85,NA,NA,NA,NA,NA,NA,NA,NA
285,Bridgeport Achievement First,1,Achievement First Bridgeport Academy,2011-12,543,NA,91,NA,NA,91,90,NA,NA,NA,94,92,71,66,39,NA,NA,NA
15,Bridgeport School District,1,Barnum School,2011-12,659,34,85,NA,NA,85,86,77,68,73,52,55,71,58,NA,NA,NA,NA
15,Bridgeport School District,61,Bassick High School,2011-12,1073,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,434,209,228,202
15,Bridgeport School District,2,Beardsley School,2011-12,389,40,52,NA,NA,52,63,50,47,54,43,40,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,3,Black Rock School,2011-12,306,NA,65,NA,NA,65,48,37,45,54,34,23,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,40,Blackham School,2011-12,1065,36,113,NA,NA,113,112,108,116,85,80,104,155,156,NA,NA,NA,NA
15,Bridgeport School District,4,Bryant School,2011-12,413,51,62,NA,NA,62,62,64,50,53,30,41,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,62,Central High School,2011-12,2186,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,663,577,502,444
15,Bridgeport School District,14,Cesar Batalla School,2011-12,1146,47,127,NA,NA,127,121,125,127,121,119,123,111,125,NA,NA,NA,NA
15,Bridgeport School District,21,Classical Studies Academy,2011-12,290,NA,32,NA,NA,32,41,43,46,51,47,30,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,5,Columbus School,2011-12,523,32,87,NA,NA,87,65,61,49,53,50,47,42,37,NA,NA,NA,NA
15,Bridgeport School District,39,Cross School,2011-12,431,NA,65,NA,NA,65,53,37,37,38,38,43,53,67,NA,NA,NA,NA
15,Bridgeport School District,42,Curiale School,2011-12,615,NA,86,NA,NA,86,71,66,69,62,54,56,78,73,NA,NA,NA,NA
15,Bridgeport School District,37,Discovery Interdistrict Magnet School,2011-12,311,93,45,NA,NA,45,46,44,44,NA,NA,39,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,41,Dunbar School,2011-12,344,NA,49,NA,NA,49,40,32,39,36,28,33,46,41,NA,NA,NA,NA
15,Bridgeport School District,7,Edison School,2011-12,251,NA,47,NA,NA,47,45,31,27,41,32,28,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,32,Geraldine Johnson School,2011-12,857,18,106,NA,NA,106,110,88,93,85,95,91,91,80,NA,NA,NA,NA
15,Bridgeport School District,11,Hall School,2011-12,310,NA,49,NA,NA,49,44,43,55,43,39,37,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,12,Hallen School,2011-12,335,18,55,NA,NA,55,47,49,47,43,47,29,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,63,Harding High School,2011-12,1315,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,388,236,320,371
15,Bridgeport School District,45,High Horizons Magnet School,2011-12,430,NA,41,NA,NA,41,43,48,49,49,50,51,47,52,NA,NA,NA,NA
15,Bridgeport School District,13,Hooker School,2011-12,416,NA,37,NA,NA,37,51,39,38,47,47,54,44,59,NA,NA,NA,NA
15,Bridgeport School District,22,Jettie S. Tisdale School,2011-12,670,45,75,NA,NA,75,71,81,71,57,49,48,76,97,NA,NA,NA,NA
15,Bridgeport School District,19,Longfellow School,2011-12,456,18,56,NA,NA,56,57,58,51,49,40,40,37,50,NA,NA,NA,NA
15,Bridgeport School District,10,Luis Munoz Marin School,2011-12,898,18,92,NA,NA,92,85,99,89,97,89,83,116,130,NA,NA,NA,NA
15,Bridgeport School District,20,Madison School,2011-12,510,NA,78,NA,NA,78,83,71,63,84,61,70,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,46,Multicultural Magnet School,2011-12,484,NA,45,NA,NA,45,50,54,53,54,61,59,56,52,NA,NA,NA,NA
15,Bridgeport School District,17,Park City Magnet School,2011-12,523,31,54,NA,NA,54,59,60,59,56,54,51,54,45,NA,NA,NA,NA
15,Bridgeport School District,25,Read School,2011-12,850,18,102,NA,NA,102,92,97,82,81,91,88,103,96,NA,NA,NA,NA
15,Bridgeport School District,26,Roosevelt School,2011-12,535,56,74,NA,NA,74,77,54,59,54,40,37,41,43,NA,NA,NA,NA
15,Bridgeport School District,44,Skane Center,2011-12,228,213,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Bridgeport School District,30,Waltersville School,2011-12,483,18,51,NA,NA,51,48,65,59,58,42,43,46,53,NA,NA,NA,NA
15,Bridgeport School District,36,Winthrop School,2011-12,729,NA,71,NA,NA,71,76,74,66,82,82,81,93,104,NA,NA,NA,NA
17,Bristol School District,61,Bristol Central High School,2011-12,1317,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,360,331,319,307
17,Bristol School District,62,Bristol Eastern High School,2011-12,1308,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,370,342,291,305
17,Bristol School District,51,Chippens Hill Middle School,2011-12,817,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,242,290,285,NA,NA,NA,NA
17,Bristol School District,7,Clara T. O Connell School,2011-12,348,21,NA,NA,49,49,62,53,52,57,54,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,3,Edgewood School,2011-12,392,NA,NA,NA,57,57,76,62,82,61,54,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,14,Ellen P. Hubbell School,2011-12,560,57,NA,NA,96,96,83,68,90,72,94,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,5,Greene-Hills School,2011-12,337,30,NA,NA,48,48,61,50,50,40,58,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,19,Ivy Drive School,2011-12,416,18,NA,NA,66,66,71,67,71,61,62,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,6,John J. Jennings School,2011-12,387,NA,NA,NA,56,56,77,59,69,58,68,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,53,Memorial Boulevard Middle School,2011-12,512,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,168,165,179,NA,NA,NA,NA
17,Bristol School District,17,Mountain View School,2011-12,370,60,NA,NA,58,58,53,54,52,48,45,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,52,Northeast Middle School,2011-12,560,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,179,184,197,NA,NA,NA,NA
17,Bristol School District,11,South Side School,2011-12,593,29,NA,NA,68,68,92,101,97,93,113,NA,NA,NA,NA,NA,NA,NA
17,Bristol School District,12,Stafford School,2011-12,493,54,NA,NA,69,69,80,80,70,67,73,NA,NA,NA,NA,NA,NA,NA
18,Brookfield School District,61,Brookfield High School,2011-12,966,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,230,239,244,253
18,Brookfield School District,3,Center Elementary School,2011-12,406,43,NA,185,NA,185,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Brookfield School District,4,Huckleberry Hill Elementary School,2011-12,591,NA,NA,NA,NA,0,NA,208,208,175,NA,NA,NA,NA,NA,NA,NA,NA
18,Brookfield School District,53,Whisconier Middle School,2011-12,871,NA,NA,NA,NA,0,NA,NA,NA,NA,213,208,238,212,NA,NA,NA,NA
19,Brooklyn School District,1,Brooklyn Elementary School,2011-12,534,111,NA,NA,74,74,97,71,86,95,NA,NA,NA,NA,NA,NA,NA,NA
19,Brooklyn School District,51,Brooklyn Middle School,2011-12,396,NA,NA,NA,NA,0,NA,NA,NA,NA,106,90,105,95,NA,NA,NA,NA
21,Canaan School District,1,Lee H. Kellogg School,2011-12,86,NA,7,NA,NA,7,11,12,8,11,10,8,9,10,NA,NA,NA,NA
22,Canterbury School District,2,Canterbury Elementary School,2011-12,298,30,2,NA,41,43,50,41,67,67,NA,NA,NA,NA,NA,NA,NA,NA
22,Canterbury School District,51,Dr. Helen Baldwin Middle School,2011-12,217,NA,NA,NA,NA,0,NA,NA,NA,NA,62,47,56,52,NA,NA,NA,NA
23,Canton School District,61,Canton High School,2011-12,522,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,133,141,129,119
23,Canton School District,3,Canton Intermediate School,2011-12,408,NA,NA,NA,NA,0,NA,NA,NA,141,133,134,NA,NA,NA,NA,NA,NA
23,Canton School District,51,Canton Middle School,2011-12,258,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,136,122,NA,NA,NA,NA
23,Canton School District,2,Cherry Brook Primary School,2011-12,550,27,NA,34,73,107,138,129,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,51,Academy of Aerospace and Engineering,2011-12,390,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,95,62,54,74,44,41,20
241,Capitol Region Education Council,52,CREC - Public Safety Academy Interdistrict Magnet School,2011-12,389,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,66,95,73,65,51,24,15
241,Capitol Region Education Council,65,CREC Medical Professions and Teacher Preparation Academy,2011-12,279,33,NA,NA,NA,0,NA,NA,NA,NA,NA,40,43,40,68,55,NA,NA
241,Capitol Region Education Council,81,Discovery Academy,2011-12,150,111,39,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,1,East Hartford/Glastonbury Magnet School,2011-12,259,NA,43,NA,NA,43,43,45,43,45,40,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,63,Great Path Academy at MCC,2011-12,246,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,99,70
241,Capitol Region Education Council,64,Greater Hartford Academy of  the Arts - Full Time,2011-12,400,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,121,97,92,90
241,Capitol Region Education Council,4,International Magnet School for Global Citizenship,2011-12,311,101,63,NA,NA,63,62,63,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,61,Metropolitan Learning Center,2011-12,719,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,104,120,121,110,103,88,73
241,Capitol Region Education Council,31,Montessori Magnet School,2011-12,350,85,45,NA,NA,45,50,47,33,41,33,16,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,5,Museum Academy,2011-12,271,99,46,NA,NA,46,40,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,3,Reggio Magnet School of the Arts,2011-12,284,101,60,NA,NA,60,62,45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Capitol Region Education Council,50,Two Rivers Middle Magnet School,2011-12,684,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,237,227,220,NA,NA,NA,NA
241,Capitol Region Education Council,2,University of Hartford Multiple Intelligences Magnet School,2011-12,441,77,69,NA,NA,69,66,64,60,55,50,NA,NA,NA,NA,NA,NA,NA
24,Chaplin School District,2,Chaplin Elementary School,2011-12,182,28,26,NA,NA,26,22,19,19,22,22,24,NA,NA,NA,NA,NA,NA
25,Cheshire School District,1,Chapman School,2011-12,294,NA,NA,NA,NA,0,48,56,47,47,54,42,NA,NA,NA,NA,NA,NA
25,Cheshire School District,61,Cheshire High School,2011-12,1549,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,395,384,365,405
25,Cheshire School District,2,Darcey School,2011-12,330,67,2,5,256,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Cheshire School District,51,Dodd Middle School,2011-12,774,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,386,388,NA,NA,NA,NA
25,Cheshire School District,6,Doolittle School,2011-12,537,NA,NA,NA,NA,0,91,96,98,106,71,75,NA,NA,NA,NA,NA,NA
25,Cheshire School District,4,Highland School,2011-12,795,NA,NA,NA,NA,0,113,127,132,130,146,147,NA,NA,NA,NA,NA,NA
25,Cheshire School District,5,Norton School,2011-12,480,NA,NA,NA,NA,0,74,87,71,77,90,81,NA,NA,NA,NA,NA,NA
26,Chester School District,1,Chester Elementary School,2011-12,259,NA,NA,NA,31,31,37,36,37,41,43,34,NA,NA,NA,NA,NA,NA
27,Clinton School District,1,Abraham Pierson School,2011-12,314,NA,NA,NA,NA,0,NA,NA,NA,165,149,NA,NA,NA,NA,NA,NA,NA
27,Clinton School District,51,Jared Eliot School,2011-12,466,NA,NA,NA,NA,0,NA,NA,NA,1,NA,150,149,166,NA,NA,NA,NA
27,Clinton School District,3,Lewin G. Joel Jr. School,2011-12,657,40,150,NA,NA,150,181,141,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Clinton School District,61,The Morgan School,2011-12,565,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,159,134,147,125
28,Colchester School District,61,Bacon Academy,2011-12,983,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,228,247,249,259
28,Colchester School District,4,Colchester Elementary School,2011-12,672,72,21,NA,159,180,197,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Colchester School District,2,Jack Jackter Intermediate School,2011-12,654,NA,NA,NA,NA,0,NA,NA,204,214,236,NA,NA,NA,NA,NA,NA,NA
28,Colchester School District,51,William J. Johnston Middle School,2011-12,700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,234,224,242,NA,NA,NA,NA
29,Colebrook School District,1,Colebrook Consolidated School,2011-12,99,NA,8,NA,NA,8,11,16,17,11,20,16,NA,NA,NA,NA,NA,NA
30,Columbia School District,1,Horace W. Porter School,2011-12,524,20,46,NA,NA,46,59,41,51,58,57,69,65,58,NA,NA,NA,NA
268,Common Ground High School District,61,Common Ground High School,2011-12,165,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,59,42,41,23
900,Connecticut Technical High School System,15,A. I. Prince Technical High School,2011-12,755,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,218,200,178,159
900,Connecticut Technical High School System,11,Bullard-Havens Technical High School,2011-12,874,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,242,223,209,200
900,Connecticut Technical High School System,19,E. C. Goodwin Technical High School,2011-12,618,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,183,168,140,127
900,Connecticut Technical High School System,14,Eli Whitney Technical High School,2011-12,521,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,149,138,117,117
900,Connecticut Technical High School System,27,Ella T. Grasso Southeastern Technical High School,2011-12,569,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,126,141,153,149
900,Connecticut Technical High School System,25,Emmett O'Brien Technical High School,2011-12,546,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,152,134,129,131
900,Connecticut Technical High School System,17,H. C. Wilcox Technical High School,2011-12,772,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,189,195,186,202
900,Connecticut Technical High School System,13,H. H. Ellis Technical High School,2011-12,540,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,167,122,123,128
900,Connecticut Technical High School System,12,Henry Abbott Technical High School,2011-12,638,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,165,162,152,159
900,Connecticut Technical High School System,16,Howell Cheney Technical High School,2011-12,673,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,180,172,178,143
900,Connecticut Technical High School System,20,Norwich Technical High School,2011-12,656,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,170,174,161,151
900,Connecticut Technical High School System,22,Oliver Wolcott Technical High School,2011-12,669,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,172,161,172,164
900,Connecticut Technical High School System,26,Platt Technical High School,2011-12,885,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,230,229,212,214
900,Connecticut Technical High School System,18,Vinal Technical High School,2011-12,607,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,165,165,151,126
900,Connecticut Technical High School System,23,W. F. Kaynor Technical High School,2011-12,761,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,189,203,196,173
900,Connecticut Technical High School System,24,Windham Technical High School,2011-12,572,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,149,151,137,135
243,Cooperative Educational Services,80,School Readiness,2011-12,51,51,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,Cooperative Educational Services,1,Six-Six Magnet School,2011-12,463,80,56,NA,NA,56,48,46,35,44,48,33,35,38,NA,NA,NA,NA
31,Cornwall School District,1,Cornwall Consolidated School,2011-12,106,NA,5,2,NA,7,10,7,11,15,15,15,13,13,NA,NA,NA,NA
32,Coventry School District,51,Capt. Nathan Hale School,2011-12,452,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,140,161,151,NA,NA,NA,NA
32,Coventry School District,80,Coventry Early Childhood Center,2011-12,18,18,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Coventry School District,2,Coventry Grammar School,2011-12,380,NA,NA,123,NA,123,125,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Coventry School District,61,Coventry High School,2011-12,524,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,111,126,135,152
32,Coventry School District,4,George Hersey Robertson School,2011-12,402,NA,NA,NA,NA,0,NA,NA,136,146,120,NA,NA,NA,NA,NA,NA,NA
33,Cromwell School District,61,Cromwell High School,2011-12,546,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,133,133,141,139
33,Cromwell School District,51,Cromwell Middle School,2011-12,500,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,163,173,164,NA,NA,NA,NA
33,Cromwell School District,2,Edna C. Stevens School,2011-12,480,27,142,NA,NA,142,166,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Cromwell School District,3,Woodside Intermediate School,2011-12,456,NA,NA,NA,NA,0,NA,NA,152,138,166,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,62,Alternative Center For Excellence,2011-12,92,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,21,23,29,19
34,Danbury School District,51,Broadview Middle School,2011-12,1121,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,381,358,382,NA,NA,NA,NA
34,Danbury School District,61,Danbury High School,2011-12,2889,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,818,704,706,661
34,Danbury School District,14,Ellsworth Avenue School,2011-12,379,1,29,NA,24,53,59,65,66,75,60,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,11,Great Plain School,2011-12,314,NA,53,NA,13,66,60,49,55,35,49,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,2,Hayestown Avenue School,2011-12,397,NA,8,NA,62,70,67,64,73,70,53,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,17,King Street Intermediate School,2011-12,372,NA,NA,NA,NA,0,NA,NA,NA,181,191,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,13,King Street Primary School,2011-12,417,3,49,NA,45,94,116,101,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,18,Mill Ridge Educational Center,2011-12,147,147,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,5,Mill Ridge Primary School,2011-12,428,1,38,NA,80,118,102,99,108,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,6,Morris Street School,2011-12,409,NA,24,NA,50,74,67,59,88,49,72,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,8,Park Avenue School,2011-12,426,1,41,NA,22,63,88,73,70,64,67,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,15,Pembroke School,2011-12,367,1,26,NA,32,58,69,54,68,64,53,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,52,Rogers Park Middle School,2011-12,1110,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,366,396,348,NA,NA,NA,NA
34,Danbury School District,12,Shelter Rock School,2011-12,419,NA,27,NA,50,77,62,70,71,67,72,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,10,South Street School,2011-12,344,NA,20,NA,41,61,56,54,62,65,46,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,16,Stadley Rough School,2011-12,468,1,34,NA,42,76,86,64,78,85,78,NA,NA,NA,NA,NA,NA,NA
34,Danbury School District,19,Western CT Academy of International Studies,2011-12,389,NA,65,NA,NA,65,68,64,65,63,64,NA,NA,NA,NA,NA,NA,NA
35,Darien School District,61,Darien High School,2011-12,1315,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,346,345,313,311
35,Darien School District,2,Hindley Elementary School,2011-12,561,25,86,NA,NA,86,93,105,92,69,91,NA,NA,NA,NA,NA,NA,NA
